setting,config,model,n,pct_abstained,pct_loop_collapse,pct_hallucinated,pct_substantive,ngram_precision_median,aligned_f1_median,cer_median_substantive,n_substantive,tier_a_count,tier_changes_vs_paper
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.00819672131147541,0.8032786885245902,0.43545815812577976,0.19639986994052927,0.6781791281153622,98,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.022900763358778626,0.6717557251908397,0.30462184873949577,0.3658315725928162,0.5116574489131032,88,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.007633587786259542,0.8931297709923665,0.24742268041237114,0.3663003663003663,0.5981067125645438,117,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.0,0.48854961832061067,0.2857142857142857,0.034354688950789226,0.8472144942864369,64,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.022900763358778626,0.9389312977099237,0.4797202797202797,0.5530068195908245,0.48987463837994216,123,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.022900763358778626,0.8015267175572519,0.23289183222958057,0.0832907138160298,0.7305389221556886,105,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2595419847328244,0.03816793893129771,0.0,0.009767846390580051,0.4928390901432182,5,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.1951219512195122,0.6585365853658537,0.2620689655172414,0.10770381451009722,0.841831425598335,81,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.7151133950716414,0.6785012331915609,0.43556895252449135,121,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.0,0.9923664122137404,0.7105263157894737,0.7298245614035087,0.3561276212302878,130,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.0,1.0,0.4981708151920918,0.4208190704882576,0.5893061926605505,68,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.00819672131147541,0.8032786885245902,0.43545815812577976,0.19639986994052927,0.6781791281153622,98,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.04580152671755725,0.648854961832061,0.30462184873949577,0.3658315725928162,0.5053619302949062,85,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.015267175572519083,0.8854961832061069,0.24742268041237114,0.3663003663003663,0.596539389801825,116,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.0,0.48854961832061067,0.2857142857142857,0.034354688950789226,0.8472144942864369,64,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.030534351145038167,0.9312977099236641,0.4797202797202797,0.5530068195908245,0.4875646650344751,122,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.07633587786259542,0.7480916030534351,0.23289183222958057,0.0832907138160298,0.7093962781526327,98,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.26717557251908397,0.030534351145038167,0.0,0.009767846390580051,0.49283102832519765,4,120,65
unclip n3 h0.10,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.21138211382113822,0.6422764227642277,0.2620689655172414,0.10770381451009722,0.8337950138504155,79,120,65
unclip n3 h0.20,n3 unclipped hebrew h0.20 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.7151133950716414,0.6785012331915609,0.43556895252449135,121,120,65
unclip n3 h0.20,n3 unclipped hebrew h0.20 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.007633587786259542,0.9847328244274809,0.7105263157894737,0.7298245614035087,0.3543356207111666,129,120,65
unclip n3 h0.20,n3 unclipped hebrew h0.20 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.029411764705882353,0.9705882352941176,0.4981708151920918,0.4208190704882576,0.579677914948989,66,120,65
