doc_id,section,model,cer_strict,cer_lenient,gt_chars,source_run
02_15_page_001,tosafot,claude_opus_4_8,0.8198863636363637,0.803409090909091,1765,talmud-fill-claude-37pages
02_15b_page_001,tosafot,claude_opus_4_8,0.7919651995905834,0.7919651995905834,3911,talmud-fill-claude-37pages
02_16_page_001,tosafot,claude_opus_4_8,0.9815794630609446,0.9815794630609446,5104,talmud-fill-claude-37pages
02_16b_page_001,tosafot,claude_opus_4_8,0.6419313026571614,0.6419313026571614,3090,talmud-fill-claude-37pages
02_17_page_001,tosafot,claude_opus_4_8,0.673236834000616,0.673236834000616,3250,talmud-fill-claude-37pages
02_17b_page_001,tosafot,claude_opus_4_8,0.9494612621857362,0.9494612621857362,3902,talmud-fill-claude-37pages
02_18_page_001,tosafot,claude_opus_4_8,0.7438226744186046,0.7438226744186046,2757,talmud-fill-claude-37pages
02_18b_page_001,tosafot,claude_opus_4_8,0.495642288745737,0.495642288745737,2641,talmud-fill-claude-37pages
02_19_page_001,tosafot,claude_opus_4_8,0.7516254876462939,0.7516254876462939,3081,talmud-fill-claude-37pages
02_19b_page_001,tosafot,claude_opus_4_8,0.9070796460176991,0.9070796460176991,2715,talmud-fill-claude-37pages
02_20_page_001,tosafot,claude_opus_4_8,0.8642998027613412,0.8642998027613412,2536,talmud-fill-claude-37pages
02_2_page_001,tosafot,claude_opus_4_8,0.823810558331523,0.823810558331523,4606,talmud-fill-claude-37pages
02_2b_page_001,tosafot,claude_opus_4_8,0.8184550646227833,0.8184550646227833,3332,talmud-fill-claude-37pages
02_3_page_001,tosafot,claude_opus_4_8,0.9744263443685409,0.9744263443685409,5713,talmud-fill-claude-37pages
02_3b_page_001,tosafot,claude_opus_4_8,0.9471729261246389,0.9471729261246389,2426,talmud-fill-claude-37pages
02_4_page_001,tosafot,claude_opus_4_8,0.9701816745655608,0.9701816745655608,5068,talmud-fill-claude-37pages
02_4b_page_001,tosafot,claude_opus_4_8,0.8201914708442124,0.8200174064403829,5747,talmud-fill-claude-37pages
02_5_page_001,tosafot,claude_opus_4_8,0.6533333333333333,0.6533333333333333,2326,talmud-fill-claude-37pages
02_5b_page_001,tosafot,claude_opus_4_8,0.7872258560984994,0.7872258560984994,2603,talmud-fill-claude-37pages
02_6_page_001,tosafot,claude_opus_4_8,0.9163135593220338,0.4941737288135593,1891,talmud-fill-claude-37pages
02_6b_page_001,tosafot,claude_opus_4_8,0.7006933744221879,0.7006933744221879,2604,talmud-fill-claude-37pages
02_7_page_001,tosafot,claude_opus_4_8,0.7382075471698113,0.7382075471698113,1273,talmud-fill-claude-37pages
02_7b_page_001,tosafot,claude_opus_4_8,0.9060099412562133,0.7645729778581112,2214,talmud-fill-claude-37pages
02_8_page_001,tosafot,claude_opus_4_8,0.9572519083969465,0.9572519083969465,3277,talmud-fill-claude-37pages
02_8b_page_001,tosafot,claude_opus_4_8,0.8690284487385936,0.8690284487385936,1864,talmud-fill-claude-37pages
02_9_page_001,tosafot,claude_opus_4_8,0.744640605296343,0.744640605296343,3176,talmud-fill-claude-37pages
02_9b_page_001,tosafot,claude_opus_4_8,0.5108441775108442,0.5108441775108442,3001,talmud-fill-claude-37pages
01_10_page_001,gemara,claude_sonnet_5,0.6293723641776234,0.6293723641776234,4035,talmud-20260713-133127
01_10b_page_001,gemara,claude_sonnet_5,0.3765037112874328,0.3765037112874328,3912,talmud-20260713-133127
01_11_page_001,gemara,claude_sonnet_5,0.7018290089323692,0.7018290089323692,2354,talmud-20260713-133127
01_11b_page_001,gemara,claude_sonnet_5,0.1717821782178218,0.1717821782178218,2024,talmud-20260713-133127
01_12_page_001,gemara,claude_sonnet_5,0.15066724063710718,0.15066724063710718,2324,talmud-20260713-133127
01_12b_page_001,gemara,claude_sonnet_5,0.15454545454545454,0.15454545454545454,2864,talmud-20260713-133127
01_13_page_001,gemara,claude_sonnet_5,0.3316266246553761,0.3316266246553761,2543,talmud-fill-claude-37pages
01_13b_page_001,gemara,claude_sonnet_5,0.7432651736449205,0.2567348263550795,3083,talmud-20260713-133127
01_14_page_001,gemara,claude_sonnet_5,0.4523316062176166,0.4523316062176166,1931,talmud-20260713-133127
01_14b_page_001,gemara,claude_sonnet_5,0.868670234664471,0.868670234664471,2430,talmud-20260713-133127
01_15_page_001,gemara,claude_sonnet_5,0.3104019892250311,0.3104019892250311,2416,talmud-20260713-133127
01_15b_page_001,gemara,claude_sonnet_5,0.5693456614509246,0.5693456614509246,2813,talmud-20260713-133127
01_2_page_001,gemara,claude_sonnet_5,1.0494417862838916,1.0494417862838916,1256,talmud-20260713-133127
01_2b_page_001,gemara,claude_sonnet_5,0.610236220472441,0.610236220472441,2034,talmud-20260713-133127
01_3_page_001,gemara,claude_sonnet_5,0.9480698529411765,0.23345588235294118,2178,talmud-20260713-133127
01_3b_page_001,gemara,claude_sonnet_5,0.2979053529868115,0.2979053529868115,2579,talmud-20260713-133127
01_4_page_001,gemara,claude_sonnet_5,0.21398002853067047,0.21398002853067047,2105,talmud-20260713-133127
01_4b_page_001,gemara,claude_sonnet_5,0.888332691567193,0.888332691567193,2598,talmud-20260713-133127
